project,1year_commits,platform,url,A_T
python_cpython,4424,npm,https://github.com/python/cpython,Attractive
angular_angular,1816,npm,https://github.com/angular/angular-cli,Attractive
electron_electron,2608,npm,https://github.com/electron/electron,Attractive
babel_babel,599,npm,https://github.com/babel/babel,Attractive
ionic-team_ionic-framework,2370,npm,https://github.com/ionic-team/ionic-framework,Attractive
preactjs_preact,563,npm,https://github.com/preactjs/preact,Attractive
tensorflow_models,1843,pypi,https://github.com/tensorflow/models,Attractive
saltstack_salt,3750,pypi,https://github.com/saltstack/salt,Attractive
micropython_micropython,1393,pypi,https://github.com/micropython/micropython,Attractive
lra_mackup,52,pypi,https://github.com/lra/mackup,Attractive
apache_zookeeper,274,pypi,https://github.com/apache/zookeeper,Attractive
ceph_ceph,12184,pypi,https://github.com/ceph/ceph,Attractive
apache_mxnet,192,pypi,https://github.com/apache/mxnet,Attractive
scipy_scipy,2472,pypi,https://github.com/scipy/scipy,Attractive
puppetlabs_puppet,309,ruby,https://github.com/puppetlabs/puppet,Attractive
jordansissel_fpm,128,ruby,https://github.com/jordansissel/fpm,Attractive
ruby-grape_grape,45,ruby,https://github.com/ruby-grape/grape,Attractive
twitter_finagle,262,ruby,https://github.com/twitter/finagle,Attractive
chef_chef,2205,ruby,https://github.com/chef/chef,Attractive
emberjs_ember.js,1028,ruby,https://github.com/emberjs/ember.js,Attractive
knsv_mermaid,2154,npm,https://github.com/knsv/mermaid,Terminal
gulpjs_gulp,1,npm,https://github.com/gulpjs/gulp,Terminal
google_material-design-lite,0,npm,https://github.com/google/material-design-lite,Terminal
react-boilerplate_react-boilerplate,0,npm,https://github.com/react-boilerplate/react-boilerplate,Terminal
daneden_animate.css,4,npm,https://github.com/daneden/animate.css,Terminal
nolimits4web_Swiper,375,npm,https://github.com/nolimits4web/Swiper,Terminal
necolas_normalize.css,0,npm,https://github.com/necolas/normalize.css,Terminal
github_fetch,0,npm,https://github.com/github/fetch,Terminal
VincentGarreau_particles.js,0,npm,https://github.com/VincentGarreau/particles.js,Terminal
littlecodersh_ItChat,0,pypi,https://github.com/littlecodersh/ItChat,Terminal
google_grumpy,0,pypi,https://github.com/google/grumpy,Terminal
postmanlabs_httpbin,0,pypi,https://github.com/requests/httpbin,Terminal
coleifer_peewee,84,pypi,https://github.com/coleifer/peewee,Terminal
flightjs_flight,0,ruby,https://github.com/twitter/flight,Terminal
ankane_chartkick,36,ruby,https://github.com/ankane/chartkick,Terminal
Compass_compass,0,ruby,https://github.com/chriseppstein/compass,Terminal
typekit_webfontloader,0,ruby,https://github.com/typekit/webfontloader,Terminal
venmo_synx,0,ruby,https://github.com/venmo/synx,Terminal
julienXX_terminal-notifier,0,ruby,https://github.com/julienXX/terminal-notifier,Terminal
