project,libraries-io-language,url,description,domain,magnet_2017,sticky_2017,magnet_2018,sticky_2018,magnet_2019,sticky_2019,magnet_2020,sticky_2020
facebook_react,Ruby,https://github.com/facebook/react,,Software tools,0.112922173,0.0861141,0.1082522,0.16270567,0.11182012,0.15098468,0.24892175,0.12684989
heartcombo_devise,Ruby,https://github.com/heartcombo/devise,Flexible authentication solution for Rails with Warden.,web libraries and frameworks,0.023641703,0.0952381,0.0199351,0.10576923,0.02066241,0.10126582,0.04004929,0.36986301
hashicorp_vagrant,Ruby,https://github.com/hashicorp/vagrant,Vagrant is a tool for building and distributing development environments.,Software tools,0.033480176,0.11313869,0.03917478,0.085,0.03251291,0.14516129,0.06284658,0.15833333
marijnh_CodeMirror,Ruby,https://github.com/marijnh/CodeMirror,"In-browser code editor (version 5, legacy)",Application software,0.051982379,0.03555556,0.01483542,0,0,0,0,0
handlebars-lang_handlebars.js,Ruby,https://github.com/handlebars-lang/handlebars.js,Minimal templating on steroids.,web libraries and frameworks,0.004992658,0.04878049,0.00162262,0.22222222,0.01033121,0.13888889,0.01540357,0.26666667
rubocop-hq_rubocop,Ruby,https://github.com/rubocop-hq/rubocop,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.",Software tools,0.034508076,0.21908127,0.04798331,0.23420074,0.04314798,0.19512195,0.1090573,0.0875576
teamcapybara_capybara,Ruby,https://github.com/teamcapybara/capybara,Acceptance test framework for web applications,web libraries and frameworks,0.00763583,0.05,0.01135837,0.03846154,0.00911577,0.09375,0.02033272,0.13888889
faker-ruby_faker,Ruby,https://github.com/faker-ruby/faker,"A library for generating fake data such as names, addresses, and phone numbers.",Non-web libraries and frameworks,0.042143906,0.10855263,0.06165971,0.12374582,0.06046794,0.21186441,0.11891559,0.15226337
kaminari_kaminari,Ruby,https://github.com/kaminari/kaminari,"⚡ A Scope & Engine based, clean, powerful, customizable and sophisticated paginator for Ruby webapps",web libraries and frameworks,0.00660793,0.03921569,0.00370885,0.27777778,0.00395017,0.44444444,0.00677757,0.47368421
heartcombo_simple_form,Ruby,https://github.com/heartcombo/simple_form,"Forms made easy for Rails! It's tied to a simple DSL, with no opinion on markup.",web libraries and frameworks,0.008810573,0.08571429,0.00811312,0.09756098,0.00546946,0.13636364,0.00800986,0.1875
omniauth_omniauth,Ruby,https://github.com/omniauth/omniauth,OmniAuth is a flexible authentication system utilizing Rack middleware.,web libraries and frameworks,0.004405286,0.22857143,0.00185443,0.1875,0.00486174,0.52631579,0.01232286,0.06666667
thoughtbot_factory_bot,Ruby,https://github.com/thoughtbot/factory_bot,A library for setting up Ruby objects as test data.,web libraries and frameworks,0.015271659,0.17741935,0.01112656,0.04285714,0.01397751,0.10204082,0.01848429,0.14285714
varvet_pundit,Ruby,https://github.com/varvet/pundit,Minimal authorization through OO design and pure Ruby classes,Non-web libraries and frameworks,0.003964758,0.06060606,0.00788132,0.19444444,0.00455789,0.22727273,0.00739372,0.41176471
BetterErrors_better_errors,Ruby,https://github.com/BetterErrors/better_errors,Better error page for Rack apps,web libraries and frameworks,0.003377386,0.08333333,0.00254984,0.61538462,0.0015193,0.61538462,0.00924214,0.39130435
mmistakes_minimal-mistakes,Ruby,https://github.com/mmistakes/minimal-mistakes,":triangular_ruler: Jekyll theme for building a personal site, blog, project documentation, or portfolio.",Application software,0.035682819,0.10108303,0.0340751,0.12,0.03980553,0.09210526,0.0874923,0.13461538
paper-trail-gem_paper_trail,Ruby,https://github.com/paper-trail-gem/paper_trail,Track changes to your rails models,Non-web libraries and frameworks,0.006461087,0.07407407,0.00834492,0.075,0.00881191,0.125,0.01232286,0.16666667
NLPchina_ansj_seg,Ruby,https://github.com/NLPchina/ansj_seg,"ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典",Non-web libraries and frameworks,0.002202643,0.33333333,0.00115902,0,0.00060772,0,0.00246457,0.25
ankane_pghero,Ruby,https://github.com/ankane/pghero,A performance dashboard for Postgres,Software tools,0.003230543,0.04166667,0.00417246,0.31578947,0.00334245,0.23529412,0.00616143,0.21428571
formtastic_formtastic,Ruby,https://github.com/formtastic/formtastic,A Rails form builder plugin with semantically rich and accessible markup.,web libraries and frameworks,0.003230543,0.11538462,0.00092721,0.14285714,0.00182315,0.28571429,0.00554529,0.72727273
asmuth_clip,Ruby,https://github.com/asmuth/clip,Create charts from the command line,Application software,0.000146843,0.2,0,1,0.00121544,0.2,0,0
rails_webpacker,Ruby,https://github.com/rails/webpacker,Use Webpack to manage app-like JavaScript modules in Rails,Software tools,0.044199706,0.11501597,0.03940658,0.16990291,0.04922516,0.22335025,0.06407887,0.06756757
collectiveidea_delayed_job,Ruby,https://github.com/collectiveidea/delayed_job,Database based asynchronous priority queue system -- Extracted from Shopify,System software,0.006314244,0.14,0.00996755,0.5,0.00729262,0.04081633,0.008626,0
shakacode_react_on_rails,Ruby,https://github.com/shakacode/react_on_rails,"Integration of React + Webpack + Rails + rails/webpacker including server-side rendering of React, enabling a better developer experience and faster client performance.",web libraries and frameworks,0.014977974,0.09243697,0.00973574,0.09433962,0.00698876,0.17857143,0.01232286,0.24
jekyll_jekyll,Ruby,https://github.com/jekyll/jekyll,":globe_with_meridians: Jekyll is a blog-aware, static site generator in Ruby",Application software,0.03215859,0.12692308,0.04450626,0.13777778,0.03950167,0.17391304,0.10166359,0.25388601
fastlane_fastlane,Ruby,https://github.com/fastlane/fastlane,Connect all iOS and Android deployment tools into one streamlined workflow,Software tools,0.069016153,0.16329966,0.07858136,0.22706422,0.08903069,0.15816327,0.18114603,0.12921348
rethinkdb_rethinkdb,Ruby,https://github.com/rethinkdb/rethinkdb,The open-source database for the realtime web.,System software,0.004698972,0.125,0.00602689,0.25806452,0.00303859,0.22222222,0.00800986,0.23529412
emberjs_ember.js,Ruby,https://github.com/emberjs/ember.js,Ember.js - A JavaScript framework for creating ambitious web applications,web libraries and frameworks,0.028193833,0.23333333,0.03685675,0.25225225,0.03220905,0.27777778,0.04128158,0.30357143
github_hub,Ruby,https://github.com/github/hub,hub helps you win at git.,Software tools,0.011160059,0.13636364,0.02202133,0.22429907,0.02734731,0.11403509,0.02649415,0.30357143
jasmine_jasmine,Ruby,https://github.com/jasmine/jasmine,DOM-less simple JavaScript testing framework,web libraries and frameworks,0.007488987,0.14814815,0.0067223,0.18918919,0.00850805,0.14285714,0.00924214,0.05
spree_spree,Ruby,https://github.com/spree/spree,Spree is a complete open source e-commerce solution for Ruby on Rails.,web libraries and frameworks,0.031277533,0.09539474,0.01784886,0.24528302,0.02552416,0.34545455,0.05606901,0.24031008
mperham_sidekiq,Ruby,https://github.com/mperham/sidekiq,"Simple, efficient background processing for Ruby",Software tools,0.016593245,0.0234375,0.01483542,0.04477612,0.0133698,0.0212766,0.04251386,0.1
CodeSeven_toastr,Ruby,https://github.com/CodeSeven/toastr,Simple javascript toast notifications http://johnpapa.net,web libraries and frameworks,0.004258443,0.21052632,0.00370885,0.08333333,0.00425403,0.125,0.00184843,0
