year,ecosystem,value,MS
2017,npm,0.4846,Magnet
2018,npm,0.4946,Magnet
2019,npm,0.4951,Magnet
2020,npm,0.4894,Magnet
2017,PyPI,0.3543,Magnet
2018,PyPI,0.3861,Magnet
2019,PyPI,0.3870,Magnet
2020,PyPI,0.3810,Magnet
2017,Rubygems,0.1544,Magnet
2018,Rubygems,0.1022,Magnet
2019,Rubygems,0.0871,Magnet
2020,Rubygems,0.0875,Magnet
2017,npm,0.2070,Sticky
2018,npm,0.2301,Sticky
2019,npm,0.2018,Sticky
2020,npm,0.1542,Sticky
2017,PyPI,0.2143,Sticky
2018,PyPI,0.2628,Sticky
2019,PyPI,0.2220,Sticky
2020,PyPI,0.2116,Sticky
2017,Rubygems,0.1695,Sticky
2018,Rubygems,0.2434,Sticky
2019,Rubygems,0.2395,Sticky
2020,Rubygems,0.2378,Sticky
